Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
"['novelty', 'text mining', 'lexical knowledge', 'wordnet', 'discotex', 'amazon.com', 'rule novelty']","['novelty', 'wordnet', 'semantic distance', 'knowledge hierarchy', 'interesting rules']",N/A,0.23,1,316
,,,,,
independence systems,independence system,0.810626566,0.95,1,317
,,,,,
optimization,combinatorial optimization,0.354496181,0.5,1,318
,,,,,
algorithms,combinatorial optimization,0.159207016,0.02,1,319
,,,,,
design,independence system,0.09801437,0.32,1,320
,,,,,
performance,independence system,0.052434642,0.21,1,321
,,,,,
theory,combinatorial optimization,0.071025617,0.1,1,322
,,,,,
np completeness,combinatorial optimization,-0.093284547,0.03,2,323
,,,,,
visor optimization,combinatorial optimization,0.317645818,0.54,6,324
,,,,,
"['independence systems', 'optimization', 'algorithms', 'design', 'performance', 'theory', 'visor optimization', 'np completeness', 'np completeness', 'visor optimization', 'visor optimization', 'visor optimization', 'visor optimization', 'visor optimization']","['independence system', 'maximal independent set', 'combinatorial optimization', 'input output selection']",N/A,0.34,1,325
,,,,,
superconvergence,superconvergence,1,1,1,326
,,,,,
high order,elliptic equations of second order,0.001610001,0.21,1,327
,,,,,
galerkin finite element method,elliptic equations of second order,-0.017493343,0.02,1,328
,,,,,
local estimates,locally symmetric meshes,0.166317031,0.03,1,329
,,,,,
symmetric technique,locally symmetric meshes,0.353024393,0.32,1,330
,,,,,
integral identity,integral identities,0.795638084,0.95,1,331
,,,,,
"['superconvergence', 'high order', 'galerkin finite element method', 'local estimates', 'symmetric technique', 'integral identity']","['superconvergence', 'elliptic equations of second order', 'integral identities', 'locally symmetric meshes']",N/A,0.4,1,332
,,,,,
design patterns,design pattern,0.856197238,0.95,1,333
,,,,,
software architecture,reverse engineering,0.279363453,0.01,1,334
,,,,,
software mining,reverse engineering,0.334182948,0.02,1,335
,,,,,
"['design patterns', 'software architecture', 'software mining']","['design pattern', 'discovery', 'reverse engineering']",N/A,0.3,1,336
,,,,,
stabilization,discontinuous stabilization,0.080737419,0.32,1,337
,,,,,
second order nonholonomic system,second order nonholonomic systems,0.927305758,0.95,1,338
,,,,,
canonical chained form,canonical second order chained form,0.768715799,0.43,1,339
,,,,,
redundant manipulator,underactuated manipulator,0.294580281,0.43,1,340
,,,,,
discontinuous control,discontinuous stabilization,0.770556986,0.42,1,341
,,,,,
"['stabilization', 'second order nonholonomic system', 'canonical chained form', 'redundant manipulator', 'discontinuous control']","['second order nonholonomic systems', 'canonical second order chained form', 'underactuated manipulator', 'discontinuous coordinate transformation', 'discontinuous stabilization']",N/A,0.21,1,342
,,,,,
scheduling,scheduling,0.999999762,1,1,343
,,,,,
mechanism design,scheduling,0.241502911,0.01,1,344
,,,,,
approximation algorithms,approximation algorithm,0.918174863,0.95,1,345
,,,,,
"['scheduling', 'mechanism design', 'approximation algorithms']","['truthful mechanism', 'scheduling', 'approximation algorithm']",N/A,0.2,1,346
certified discrete log cryptosystem,certified discrete logarithm problem,0.421981722,0.5,1,347
,,,,,
discrete logarithm problem,certified discrete logarithm problem,0.805022717,0.78,1,348
,,,,,
polynomial time many one reducibility,probabilistic reducibility,0.373529822,0.1,1,349
,,,,,
cryptography,probabilistic reducibility,0.137679785,0.03,1,350
,,,,,
"['certified discrete log cryptosystem', 'discrete logarithm problem', 'polynomial time many one reducibility', 'cryptography']","['certified discrete logarithm problem', 'primitive root', 'order', 'probabilistic reducibility', 'deterministic reducibility']",N/A,0.34,1,351
,,,,,
pumping,pumps,0.633886993,0.78,1,352
,,,,,
flow measurement,force measurement,0.588275194,0.6,2,353
,,,,,
hydraulic engineering,water supply engineering,0.346867502,0.32,1,354
,,,,,
"['pumping', 'flow measurement', 'hydraulic engineering', 'flow measurement']","['pumps', 'fluid dynamics', 'force measurement', 'water supply engineering', 'china']",N/A,0.34,1,355
,,,,,
montgomery modular exponentiation,modular arithmetic,0.335333377,0.21,1,356
,,,,,
field programmable gate arrays,modular arithmetic,0.071415953,0.03,1,357
,,,,,
systolic arrays,systolic array,0.833100915,0.95,1,358
,,,,,
cryptography,modular arithmetic,0.298690856,0.05,1,359
,,,,,
rsa cryptography,rsa,0.620027363,0.5,1,360
,,,,,
"['montgomery modular exponentiation', 'field programmable gate arrays', 'systolic arrays', 'cryptography', 'rsa cryptography']","['montgomery', 'exponentiation', 'fpga', 'rsa', 'systolic array', 'modular arithmetic']",N/A,0.3,1,361
,,,,,
power system dynamic security,dynamic security assessment,0.364551365,0.23,1,362
,,,,,
growing hierarchical self organizing map,growing hierarchical self organizing feature map,0.922502756,0.9,1,363
,,,,,
artificial neural networks,dynamic security assessment,0.134303883,0.02,1,364
,,,,,
pattern recognition,stability criteria,0.180059567,0.04,1,365
,,,,,
unsupervised and supervised learning,supervised and unsupervised learning,0.606002271,0.8,1,366
,,,,,
"['power system dynamic security', 'growing hierarchical self organizing map', 'artificial neural networks', 'pattern recognition', 'unsupervised and supervised learning']","['supervised and unsupervised learning', 'synchronizing and damping torques', 'growing hierarchical self organizing feature map', 'dynamic security assessment', 'stability criteria']",N/A,0.2,1,367
,,,,,
cmos,rf cmos,0.653478563,0.5,1,368
,,,,,
t r switch,t r switch,1,1,1,369
,,,,,
insertion loss,spdt switch,-0.056953829,0.1,1,370
,,,,,
isolation,mosfet switch,-0.127288565,0.05,1,371
,,,,,
s parameters,t r switch,0.009461983,0.05,1,372
,,,,,
s r,t r switch,0.325828612,0.2,1,373
,,,,,
"['cmos', 't r switch', 'insertion loss', 'isolation', 's parameters', 's r']","['t r switch', 'mosfet switch', 'rf cmos', 'spdt switch']",N/A,0.1,1,374
,,,,,
equivalence checking,equivalence checking,0.999999762,1,3,375
,,,,,
multiple valued functions,multiple valued function,0.766428769,0.95,1,376
,,,,,
probabilistic methods,probabilistic verification,0.686268091,0.5,1,377
,,,,,
hashing,equivalence checking,-0.083650418,0.1,1,378
,,,,,
finite fields,probabilistic verification,0.063633986,0.1,1,379
,,,,,
deterministic equivalence checking,equivalence checking,0.423243046,0.7,1,380
,,,,,
e,probabilistic verification,-0.280540496,0.03,1,381
,,,,,
"['equivalence checking', 'multiple valued functions', 'probabilistic methods', 'hashing', 'finite fields', 'deterministic equivalence checking', 'equivalence checking', 'equivalence checking', 'e']","['equivalence checking', 'multiple valued function', 'probabilistic verification']",N/A,0.4,1,382
,,,,,
scholarly reading,multimedia scholarly reading,0.424319297,0.4,1,383
,,,,,
multimedia document,multimedia scholarly reading,0.467966914,0.2,1,384
,,,,,
document engineering,multimedia corpus modelling,0.191029355,0.02,1,385
,,,,,
scholarly communication,multimedia scholarly reading,0.241547272,0.23,3,386
,,,,,
scholarly publishing,multimedia scholarly reading,0.340413243,0.21,1,387
,,,,,
scholarly annotation,multimedia scholarly reading,0.217774004,0.21,6,388
,,,,,
"['scholarly reading', 'multimedia document', 'document engineering', 'scholarly communication', 'scholarly communication', 'scholarly communication', 'scholarly publishing', 'scholarly annotation', 'scholarly annotation', 'scholarly annotation', 'scholarly annotation', 'scholarly annotation', 'scholarly annotation']","['multimedia scholarly reading', 'multimedia corpus modelling', 'document annotation and structuring', 'spatial hypertexts', 'graphical user interfaces for critical reading']",N/A,0.2,1,389
,,,,,
sensor selection,channel selection,0.391900986,0.45,1,390
,,,,,
energy efficiency,reducing energy consumption,0.298603445,0.1,1,391
,,,,,
ambulatory medical monitoring,ambulatory medical monitoring,1,1,1,392
,,,,,
epilepsy,epilepsy,1,1,1,393
,,,,,
seizure detection,epilepsy,0.123916581,0.03,1,394
,,,,,
eeg,epilepsy,-0.156157419,0.03,1,395
,,,,,
low power,reducing energy consumption,0.054357957,0.04,1,396
,,,,,
eeg detection,epilepsy,-0.184385404,0.03,1,397
,,,,,
"['sensor selection', 'energy efficiency', 'ambulatory medical monitoring', 'epilepsy', 'seizure detection', 'eeg', 'low power', 'eeg detection']","['ambulatory medical monitoring', 'epilepsy', 'reducing energy consumption', 'channel selection', 'electroencephalography']",N/A,0.23,1,398
,,,,,
process,process,1,1,1,399
,,,,,
synchronization,synchronization,1.000000238,1,1,400
,,,,,
sharing,sharing,1.000000238,1,1,401
,,,,,
data,data,0.999999583,1,1,402
,,,,,
code,code,1.000000238,1,1,403
,,,,,
case,case,1,1,1,404
,,,,,
version,version,1.000000238,1,1,405
,,,,,
association,association,1,1,1,406
,,,,,
operating system,operating system,0.999999762,1,1,407
,,,,,
systems,systems,1,1,1,408
,,,,,
architecture,architecture,1,1,1,409
,,,,,
effect,effect,1.000000238,1,1,410
,,,,,
reliability,reliability,0.999999762,1,1,411
,,,,,
implementation,implementation,0.999999762,1,1,412
,,,,,
lockout,synchronization,-0.018592497,0.02,1,413
,,,,,
"['process', 'synchronization', 'sharing', 'data', 'code', 'case', 'version', 'association', 'operating system', 'systems', 'architecture', 'effect', 'reliability', 'implementation', 'lockout']","['process', 'synchronization', 'sharing', 'data', 'code', 'case', 'version', 'association', 'operating system', 'systems', 'architecture', 'effect', 'reliability', 'implementation']",N/A,0.95,1,414
,,,,,
artificial immune system,artificial immune system,1,1,1,415
,,,,,
fuzzy neural network,fuzzy neural network,1,1,1,416
,,,,,
rfid,radio frequency identification,-0.107630454,1,1,417
,,,,,
picking cart,genetic algorithms,-0.018681588,0.03,1,418
,,,,,
if then rules,genetic algorithms,-0.185920119,0.04,1,419
,,,,,
"['artificial immune system', 'fuzzy neural network', 'rfid', 'picking cart', 'if then rules']","['artificial immune system', 'fuzzy neural network', 'radio frequency identification', 'genetic algorithms']",N/A,0.65,1,420
,,,,,
software pipelining,software pipelining,1,1,1,421
,,,,,
loops,loop transformation,0.086584225,0.5,1,422
,,,,,
data dependence graph,loop transformation,0.007784416,0.04,1,423
,,,,,
hyperplane scheduling,loop transformation,0.202798635,0.05,1,424
,,,,,
instruction level parallelism,algorithms,0.041724022,0.03,1,425
,,,,,
loop transformations,loop transformation,0.875182509,0.95,1,426
,,,,,
loop optimization,loop transformation,0.587189913,0.5,1,427
,,,,,
loop initiation rate,loop transformation,0.323654115,0.5,2,428
,,,,,
"['software pipelining', 'loops', 'data dependence graph', 'hyperplane scheduling', 'instruction level parallelism', 'loop transformations', 'loop optimization', 'loop initiation rate', 'loop initiation rate']","['software pipelining', 'modulo scheduling', 'loop transformation', 'algorithms', 'languages']",N/A,0.45,1,429
,,,,,
semi transparent particles,overlapping particles recognition,0.123552829,0.21,1,430
,,,,,
salient corners,salient corner detection,0.603237212,0.45,1,431
,,,,,
clustering,clustering method,0.618225634,0.43,1,432
,,,,,
shape recognition,contour detection,0.461245775,0.03,2,433
,,,,,
polygonal shapes recognition,contour detection,0.356235385,0.04,1,434
,,,,,
"['semi transparent particles', 'salient corners', 'clustering', 'shape recognition', 'polygonal shapes recognition', 'shape recognition']","['salient corner detection', 'contour detection', 'clustering method', 'overlapping particles recognition']",N/A,0.32,1,435
,,,,,
dimension reduction,dimension reduction,1,1,1,436
,,,,,
epsilon sample,digons,0.04491451,0.03,1,437
,,,,,
pseudorandom generator,pseudorandom generator,1,1,1,438
,,,,,
oblivious derandomization,pseudorandom generator,0.129101694,0.04,1,439
,,,,,
max cut,max cut,1,1,1,440
,,,,,
approximation algorithm,linear threshold functions,0.143271595,0.06,1,441
,,,,,
sphere,digons,-0.162852362,0.1,1,442
,,,,,
k wise independent sample space,linear threshold functions,-0.024050595,0.04,1,443
,,,,,
epsil,digons,0.057629868,0.04,1,444
,,,,,
"['dimension reduction', 'epsilon sample', 'pseudorandom generator', 'oblivious derandomization', 'max cut', 'approximation algorithm', 'sphere', 'k wise independent sample space', 'epsil']","['dimension reduction', 'pseudorandom generator', 'linear threshold functions', 'digons', 'max cut', 'johnson lindenstrauss']",N/A,0.21,1,445
,,,,,
capital one,capital one financial,0.493270665,0.45,1,446
,,,,,
newly vulnerable markets,newly vulnerable markets,1,1,1,447
,,,,,
credit card industry,information economics,0.083486803,0.04,1,448
,,,,,
information based strategies,information based strategy,0.920835733,0.95,1,449
,,,,,
e commerce,information economics,0.11084339,0.03,6,450
,,,,,
e business,information economics,0.020450475,0.04,2,451
,,,,,
"['capital one', 'newly vulnerable markets', 'credit card industry', 'information based strategies', 'e commerce', 'e commerce', 'e business', 'e business', 'e commerce', 'e commerce', 'e commerce', 'e commerce']","['capital one financial', 'newly vulnerable markets', 'information based strategy', 'market entry', 'differential pricing', 'customer profitability gradient', 'information economics']",N/A,0.2,1,452
,,,,,
scene analysis,analysis,0.348156303,0.45,1,453
,,,,,
geometric homology,geometry,0.31291315,0.45,1,454
,,,,,
graphical statics,mathematics,0.37730068,0.05,1,455
,,,,,
applied projective geometry,linear algebra,0.238804087,0.02,1,456
,,,,,
structural topology,structure,0.41379264,0.45,1,457
,,,,,
exterior algebra,algebra,0.374087095,0.43,1,458
,,,,,
doubilet rota stein double algebra,linear algebra,0.143962473,0.2,1,459
,,,,,
descriptive geometry,geometry,0.290889531,0.43,1,460
,,,,,
3d scene analysis,3d,0.375134021,0.34,2,461
,,,,,
3,3d,0.289365143,0.7,1,462
,,,,,
"['scene analysis', 'geometric homology', 'graphical statics', 'applied projective geometry', 'structural topology', 'exterior algebra', 'doubilet rota stein double algebra', 'descriptive geometry', '3d scene analysis', '3d scene analysis', '3']","['analysis', 'graphics', 'timing', 'computation', 'tools', 'project', 'geometry', 'research', 'structure', 'topologies', 'group', 'use', 'method', 'algebra', 'help', 'image', '3d', 'automation', 'software', 'packaging', 'sketching', 'point', 'observability', 'drawing', 'space', 'informal', 'spatial', 'interpretation', 'global', 'ranking', 'practical', 'pattern', 'engine', 'scan', 'ambiguities', 'case', 'algorithm', 'rules', 'requirements', 'paper', 'sorting', 'theory', 'configurability', 'object', 'invariance', 'vectorization', 'general', 'order', 'linear algebra', 'representation', 'mathematics', 'applications', 'behavior', 'systems', 'constraint']",N/A,0.21,1,463
